Description,Gene_symbol
Leukotriene C(4) transporter,ABCC1
Epiligrin subunit alpha,LAMA3
Laminin subunit alpha-3,LAMA3
Laminin-5 subunit alpha,LAMA3
Laminin-6 subunit alpha,LAMA3
Nicein subunit alpha,LAMA3
Laminin-7 subunit alpha,LAMA3
Kalinin subunit alpha,LAMA3
Adenylate cyclase type 3,ADCY3
LEM-domain containing protein 3,ANKLE1
Ankyrin repeat domain-containing protein 41,ANKLE1
Ankyrin repeat and LEM domain-containing protein 1,ANKLE1
"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH
Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase,HADH
Short-chain 3-hydroxyacyl-CoA dehydrogenase,HADH
Type-1 angiotensin II receptor,AGTR1
Vascular permeability factor,VEGFA
Chromodomain-helicase-DNA-binding protein 1-like,CHD1L
Phosphotriesterase-related protein,PTER
N-acetyltaurine hydrolase,PTER
Disks large homolog 5,DLG5
Heat shock protein 105 kDa,HSPH1
Heat shock 110 kDa protein,HSPH1
Angiotensin-converting enzyme,ACE
Negative elongation factor E,NELFE
Synaptosomal-associated protein 25,SNAP25
Seizure related 6 homolog,SEZ6
CD167 antigen-like family member A,DDR1
Tyrosine kinase DDR,DDR1
Discoidin receptor tyrosine kinase,DDR1
Epithelial discoidin domain-containing receptor 1,DDR1
Isoleucyl-tRNA synthetase,IARS1
"Isoleucine--tRNA ligase, cytoplasmic",IARS1
"NADPH:adrenodoxin oxidoreductase, mitochondrial",FDXR
Immunoglobulin kappa variable 6D-21,IGKV6D-21
Sodium channel protein,SCN5A
Wilms tumor protein homolog,WT1
Immunoglobulin kappa variable 1-16,IGKV1-16
Ig kappa chain V-I region BAN,IGKV1-16
E3 ubiquitin-protein ligase RNF213,RNF213
RING finger protein 213,RNF213
E3 ubiquitin-lipopolysaccharide ligase RNF213,RNF213
Mysterin,RNF213
Laminin-9 subunit alpha,LAMA4
Laminin-8 subunit alpha,LAMA4
Laminin-14 subunit alpha,LAMA4
Laminin subunit alpha-4,LAMA4
L-dopachrome tautomerase,DCT
Tyrosinase-related protein 2,DCT
L-dopachrome Delta-isomerase,DCT
Valyl-tRNA synthetase,VARS2
"Valine--tRNA ligase, mitochondrial",VARS2
ILK-2,ILK
p59ILK,ILK
ILK-1,ILK
Scaffold protein ILK,ILK
Inactive integrin-linked kinase,ILK
Dual specificity tyrosine-phosphorylation-regulated kinase 4,DYRK4
3-beta-hydroxysterol Delta-24-reductase,DHCR24
Delta(24)-sterol reductase,DHCR24
24-dehydrocholesterol reductase,DHCR24
Neutral cholesterol ester hydrolase 1,NCEH1
Arylacetamide deacetylase-like 1,NCEH1
Acetylalkylglycerol acetylhydrolase,NCEH1
Cyclin-A/CDK2-associated protein p45,SKP2
F-box protein Skp2,SKP2
S-phase kinase-associated protein 2,SKP2
GABA(A) receptor subunit alpha-2,GABRA2
Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2
Interleukin-6 signal transducer,IL6ST
Oncostatin-M receptor subunit alpha,IL6ST
Membrane glycoprotein 130,IL6ST
Interleukin-6 receptor subunit beta,IL6ST
Tyrosine-protein kinase,JAK1
PAS-4,CD36
Platelet glycoprotein 4,CD36
PAS IV,CD36
Platelet glycoprotein IV,CD36
Glycoprotein IIIb,CD36
Tumor necrosis factor ligand superfamily member 13,TNFSF12-TNFSF13
A proliferation-inducing ligand,TNFSF12-TNFSF13
p24 family protein gamma-3,TMED7-TICAM2
Transmembrane emp24 domain-containing protein 7,TMED7-TICAM2
p27,TMED7-TICAM2
T cell receptor alpha variable 14/delta variable 4,TRAV14DV4
RING-type E3 ubiquitin transferase ZFP91,ZFP91-CNTF
E3 ubiquitin-protein ligase ZFP91,ZFP91-CNTF
Zinc finger protein 91 homolog,ZFP91-CNTF
T cell receptor beta variable 13,TRBV13
T cell receptor beta variable 6-6,TRBV6-6
T cell receptor beta variable 6-8,TRBV6-8
Stonin-1,STON1-GTF2A1L
Stoned B-like factor,STON1-GTF2A1L
T cell receptor alpha variable 8-3,TRAV8-3
T cell receptor alpha variable 8-1,TRAV8-1
Probable non-functional T cell receptor beta variable 7-1,TRBV7-1
T cell receptor alpha variable 16,TRAV16
Coronin,PAM16
Aminopeptidase,ERAP1
Meiosis-specific kinetochore protein,MEIKIN
Bifunctional lysine-specific demethylase and histidyl-hydroxylase,URLC2
RING-type E3 ubiquitin transferase Mdm2,MDM2
Oncoprotein Mdm2,MDM2
p53-binding protein Mdm2,MDM2
E3 ubiquitin-protein ligase Mdm2,MDM2
Double minute 2 protein,MDM2
U6 snRNA-specific terminal uridylyltransferase 1,URLC6
Speckle targeted PIP5K1A-regulated poly(A) polymerase,URLC6
RNA-binding motif protein 21,URLC6
"Acyl-CoA synthetase short-chain family member 3, mitochondrial",ACSS3
Acetate--CoA ligase 3,ACSS3
Propionate--CoA ligase,ACSS3
Apoptosis inhibitor survivin,BIRC5
Baculoviral IAP repeat-containing protein 5,BIRC5
Phosphatidylinositol 4-kinase beta,PI4KB
Ephrin type-A receptor 6,EPHA6
EPH homology kinase 2,EPHA6
Immunoglobulin lambda variable 7-43,IGLV7-43
Ig lambda chain V region 4A,IGLV7-43
Immunoglobulin lambda variable 1-36,IGLV1-36
T cell receptor gamma variable 5,TRGV5
T cell receptor beta variable 9,TRBV9
Immunoglobulin heavy variable 6-1,IGHV6-1
Ig heavy chain V-III region TRO,IGHV3-11
Immunoglobulin heavy variable 3-11,IGHV3-11
Immunoglobulin heavy variable 3-15,IGHV3-15
Immunoglobulin heavy variable 3-21,IGHV3-21
Immunoglobulin heavy variable 2-26,IGHV2-26
Immunoglobulin heavy variable 3-73,IGHV3-73
Probable non-functional immunoglobulin heavy variable 7-81,IGHV7-81
Immunoglobulin heavy variable 3-74,IGHV3-74
Immunoglobulin heavy variable 3-43,IGHV3-43
Immunoglobulin lambda variable 9-49,IGLV9-49
Immunoglobulin kappa variable 1D-43,IGKV1D-43
Ig kappa chain V-I region HK146,IGKV1D-16
Ig kappa chain V-I region HK189,IGKV1D-16
Immunoglobulin kappa variable 1D-16,IGKV1D-16
ribose-phosphate diphosphokinase,PRPS1L1
T cell receptor alpha variable 2,TRAV2
T cell receptor alpha variable 13-2,TRAV13-2
T cell receptor alpha variable 8-2,TRAV8-2
T cell receptor alpha variable 1-2,TRAV1-2
T cell receptor alpha variable 10,TRAV10
T cell receptor alpha variable 13-1,TRAV13-1
T cell receptor alpha variable 3,TRAV3
T cell receptor alpha variable 12-1,TRAV12-1
T cell receptor alpha variable 1-1,TRAV1-1
T cell receptor alpha variable 5,TRAV5
Transmembrane O-mannosyltransferase targeting cadherins 2,TMTC2
Transmembrane and tetratricopeptide repeat-containing 2,TMTC2
Protein O-mannosyl-transferase TMTC2,TMTC2
T cell receptor alpha variable 8-6,TRAV8-6
T cell receptor alpha variable 39,TRAV39
T cell receptor alpha variable 38-1,TRAV38-1
T cell receptor alpha variable 26-2,TRAV26-2
T cell receptor alpha variable 41,TRAV41
T cell receptor alpha variable 4,TRAV4
T cell receptor alpha variable 12-3,TRAV12-3
T cell receptor alpha variable 24,TRAV24
T cell receptor alpha variable 34,TRAV34
T cell receptor alpha variable 20,TRAV20
T cell receptor alpha variable 17,TRAV17
T cell receptor alpha variable 25,TRAV25
T cell receptor alpha variable 22,TRAV22
T cell receptor alpha variable 21,TRAV21
T cell receptor alpha variable 40,TRAV40
Immunoglobulin kappa variable 1D-13,IGKV1D-13
T cell receptor beta variable 12-4,TRBV12-4
Ig kappa chain V-I region Wes,IGKV1D-12
Immunoglobulin kappa variable 1D-12,IGKV1D-12
PIGB opposite strand protein 1,PIGBOS1
Protein PIGBOS1,PIGBOS1
Immunoglobulin heavy variable 1-69D,IGHV1-69D
Apolipoprotein A5,APOA5
Apolipoprotein A-V,APOA5
Regeneration-associated protein 3,APOA5
"FCH domain only 1, isoform CRA_b",FCHO1
FCH and mu domain containing endocytic adaptor 1,FCHO1
Lysine-specific demethylase 4B,KDM4B
Jumonji domain-containing protein 2B,KDM4B
[histone H3]-trimethyl-L-lysine(9) demethylase 4B,KDM4B
JmjC domain-containing histone demethylation protein 3B,KDM4B
Glucokinase regulatory protein,GCKR
Monoacylglycerol lipase,MGLL
Monoglyceride lipase,MGLL
Peptide:N-glycanase,NGLY1
Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,NGLY1
N-glycanase 1,NGLY1
Kallikrein-like protein 1,KLK4
Kallikrein-4,KLK4
Enamel matrix serine proteinase 1,KLK4
Serine protease 17,KLK4
Neutral ceramidase,ASAH2
Collagen alpha-2(XI) chain,COL11A2
Synapse-associated protein 97,DLG1
Disks large homolog 1,DLG1
Jade family PHD finger 2,JADE2
Xylosyltransferase II,XYLT2
Xylosyltransferase 2,XYLT2
NPC1 like intracellular cholesterol transporter 1,NPC1L1
Arylsulfatase A,ARSA
Cerebroside-sulfatase,ARSA
PAB1P-dependent poly(A)-specific ribonuclease,PAN3
Poly(A)-nuclease deadenylation complex subunit 3,PAN3
PAN2-PAN3 deadenylation complex subunit PAN3,PAN3
Cysteine methyltransferase DNMT3A,DNMT3A
DNA (cytosine-5)-methyltransferase 3A,DNMT3A
Small ribosomal subunit protein uS2,RPSA
37 kDa laminin receptor precursor,RPSA
Laminin receptor 1,RPSA
67 kDa laminin receptor,RPSA
37/67 kDa laminin receptor,RPSA
Laminin-binding protein precursor p40,RPSA
Omega-hydroxyceramide transacylase,PNPLA1
Patatin-like phospholipase domain-containing protein 1,PNPLA1
Peroxin-1,PEX1
Peroxisome biogenesis factor 1,PEX1
Peroxisomal ATPase PEX1,PEX1
Enaptin,SYNE1
Nesprin-1,SYNE1
Nuclear envelope spectrin repeat protein 1,SYNE1
KASH domain-containing protein 1,SYNE1
Myocyte nuclear envelope protein 1,SYNE1
Synaptic nuclear envelope protein 1,SYNE1
ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4
Hephaestin,HEPH
Gastric alcohol dehydrogenase,ADH7
Alcohol dehydrogenase class IV mu/sigma chain,ADH7
Retinol dehydrogenase,ADH7
Alcohol dehydrogenase class 4 mu/sigma chain,ADH7
Omega-hydroxydecanoate dehydrogenase ADH7,ADH7
All-trans-retinol dehydrogenase [NAD(+)] ADH7,ADH7
POU domain protein,POU2F1
DEAD box protein 46,DDX46
Probable ATP-dependent RNA helicase DDX46,DDX46
"Delta(3),Delta(2)-enoyl-CoA isomerase",ECI2
Enoyl-CoA delta isomerase 2,ECI2
"Peroxisomal 3,2-trans-enoyl-CoA isomerase",ECI2
Dodecenoyl-CoA isomerase,ECI2
RING-type E3 ubiquitin transferase HLTF,HLTF
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3,HLTF
Sucrose nonfermenting protein 2-like 3,HLTF
Helicase-like transcription factor,HLTF
rRNA adenine N(6)-methyltransferase,DIMT1
Albumin,ALB
Group XIIA secretory phospholipase A2,PLA2G12A
Phosphatidylcholine 2-acylhydrolase 12A,PLA2G12A
Serine/threonine-protein kinase 35,STK35
Serine/threonine-protein kinase 35 L1,STK35
Zinc finger and BTB domain containing 32,ZBTB32
Chromodomain-helicase-DNA-binding protein 4,CHD4
Costimulatory molecule,CD276
B7 homolog 3,CD276
CD276 antigen,CD276
Tetratricopeptide repeat protein 8,TTC8
Citrate synthase,CS
Nesprin-2,SYNE2
exodeoxyribonuclease III,APEX1
Deoxyuridine 5'-triphosphate nucleotidohydrolase,DUT
dUTP pyrophosphatase,DUT
Aquaporin-8,AQP8
Mammalian rdgB homolog beta,PITPNC1
Cytoplasmic phosphatidylinositol transfer protein 1,PITPNC1
Retinal degeneration B homolog beta,PITPNC1
Adenomatous polyposis coli protein 2,APC2
EMAP like 2,EML2
Alkylcobalamin:glutathione S-alkyltransferase,MMACHC
CblC,MMACHC
Cyanocobalamin reductase (cyanide-eliminating),MMACHC
Methylmalonic aciduria and homocystinuria type C protein,MMACHC
Cyanocobalamin reductase / alkylcobalamin dealkylase,MMACHC
DNA ligase,LIG4
Ectodysplasin-A,EDA
Immunoglobulin kappa variable 6-21,IGKV6-21
Immunoglobulin kappa variable 3D-20,IGKV3D-20
Probable non-functional immunoglobulin kappa variable 6D-41,IGKV6D-41
T cell receptor gamma variable 8,TRGV8
T cell receptor gamma variable 4,TRGV4
Immunoglobulin heavy variable 1-3,IGHV1-3
Probable non-functional immunoglobulin heavy variable 3-16,IGHV3-16
Immunoglobulin heavy variable 1-18,IGHV1-18
Immunoglobulin heavy variable 3-20,IGHV3-20
Immunoglobulin heavy variable 1-24,IGHV1-24
Immunoglobulin heavy variable 4-28,IGHV4-28
Probable non-functional immunoglobulin heavy variable 3-35,IGHV3-35
Probable non-functional immunoglobulin heavy variable 3-38,IGHV3-38
Ig heavy chain V-III region WEA,IGHV3-48
Immunoglobulin heavy variable 3-48,IGHV3-48
Immunoglobulin heavy variable 1-58,IGHV1-58
Immunoglobulin heavy variable 4-61,IGHV4-61
Immunoglobulin heavy variable 3-66,IGHV3-66
Immunoglobulin heavy variable 2-70D,IGHV2-70D
Immunoglobulin kappa variable 3D-7,IGKV3D-7
polynucleotide adenylyltransferase,PAPOLG
T cell receptor beta variable 5-4,TRBV5-4
Immunoglobulin kappa variable 1-8,IGKV1-8
Immunoglobulin kappa variable 2-24,IGKV2-24
Immunoglobulin kappa variable 1-9,IGKV1-9
Immunoglobulin kappa variable 1-6,IGKV1-6
Immunoglobulin kappa variable 1-12,IGKV1-12
CD158 antigen-like family member G,KIR2DS5
Natural killer-associated transcript 9,KIR2DS5
Killer cell immunoglobulin-like receptor 2DS5,KIR2DS5
Mitochondrial open reading frame of the 12S rRNA-c,MT-RNR1
Mitochondrial-derived peptide MOTS-c,MT-RNR1
Cryptochrome-2,CRY2
cyclin-dependent kinase,CDK11B
Galactosyltransferase-associated protein kinase p58/GTA,CDK11B
Runt-related transcription factor,RUNX2
WW domain-containing oxidoreductase,WWOX
Membrane-associated guanylate kinase inverted 2,MAGI2
Atrophin-1-interacting protein 1,MAGI2
"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",MAGI2
Phosphoinositide phospholipase C,PLCB1
Alpha-II spectrin,SPTAN1
Fodrin alpha chain,SPTAN1
"Spectrin alpha chain, non-erythrocytic 1",SPTAN1
Chromosome transmission fidelity protein 18 homolog,CHTF18
F-box-like/WD repeat-containing protein TBL1XR1,TBL1XR1
TBL1-related protein 1,TBL1XR1
Transducin beta-like 1X-related protein 1,TBL1XR1
Nuclear receptor corepressor/HDAC3 complex subunit TBLR1,TBL1XR1
[histone H4]-lysine20 N-methyltransferase KMT5B,KMT5C
[histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B,KMT5C
Zrt- and Irt-like protein 9,SLC39A9
Solute carrier family 39 member 9,SLC39A9
Zinc transporter ZIP9,SLC39A9
dynamin GTPase,DNM1
Glutamate/H(+) symporter 2,SLC25A22
Solute carrier family 25 member 22,SLC25A22
Mitochondrial glutamate carrier 1,SLC25A22
Solute carrier family 25 member 18,SLC25A22
Glutamate/H(+) symporter 1,SLC25A22
Mitochondrial glutamate carrier 2,SLC25A22
Dynamin-1,DNM1
Dynamin I,DNM1
"SNF2, histone-linker, PHD and RING finger domain-containing helicase",SHPRH
E3 ubiquitin-protein ligase SHPRH,SHPRH
RING-type E3 ubiquitin transferase SHPRH,SHPRH
Diacylglycerol kinase,DGKH
Syntaxin-binding protein 1,STXBP1
N-Sec1,STXBP1
Protein unc-18 homolog A,STXBP1
Protein unc-18 homolog 1,STXBP1
Protein FAM92B,CIBAR2
CBY1-interacting BAR domain-containing protein 2,CIBAR2
Fatty aldehyde dehydrogenase,ALDH3A2
Aldehyde dehydrogenase family 3 member A2,ALDH3A2
Zinc finger MYND domain-containing protein 11,ZMYND11
Sodium/hydrogen exchanger,SLC9A6
"Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1",SYNJ1
Synaptojanin-1,SYNJ1
Uvomorulin,CDH1
Epithelial cadherin,CDH1
Cadherin-1,CDH1
Plasminogen,PLG
Follicle-stimulating hormone beta subunit,FSHB
Follitropin beta chain,FSHB
Follitropin subunit beta,FSHB
C3/C5 convertase,CFB
Complement factor B,CFB
"Major histocompatibility complex, class I, C",HLA-C
Receptor for advanced glycosylation end products,AGER
Advanced glycosylation end product-specific receptor,AGER
Complement C2,C2
"Major histocompatibility complex, class I, A",HLA-A
[histone H3]-lysine(9) N-methyltransferase,EHMT2
Heat shock protein family A (Hsp70) member 1B,HSPA1B
Alpha/beta hydrolase domain-containing protein 16A,ABHD16A
Monoacylglycerol lipase ABHD16A,ABHD16A
Phosphatidylserine lipase ABHD16A,ABHD16A
Cytochrome P450-C21,CYP21A2
Cytochrome P450 21,CYP21A2
21-OHase,CYP21A2
Cytochrome P-450c21,CYP21A2
Steroid 21-hydroxylase,CYP21A2
Cytochrome P450 XXI,CYP21A2
"Complement component 4B (Chido/Rodgers blood group), copy 2",C4B_2
Complement C4B (Chido/Rodgers blood group),C4B_2
Probable ATP-dependent RNA helicase DDX5,DDX5
DEAD box protein 5,DDX5
ATP-binding cassette sub-family C member 6,ABCC6
Multidrug resistance-associated protein 6,ABCC6
Immunoglobulin heavy variable 1-69-2,IGHV1-69-2
Protein scribble homolog,SCRIB
Protein LAP4,SCRIB
Mu-protocadherin,CDHR5
Cadherin-related family member 5,CDHR5
T cell receptor beta variable 28,TRBV28
Signal peptide peptidase-like 2C,SPPL2C
Intramembrane protease 5,SPPL2C
Ephrin type-B receptor 6,EPHB6
Tyrosine-protein kinase-defective receptor EPH-6,EPHB6
Immunoglobulin heavy variable 4-34,IGHV4-34
Ig heavy chain V-II region ARH-77,IGHV4-34
Immunoglobulin heavy variable 5-51,IGHV5-51
RING finger protein 36,TRIM69
Tripartite motif-containing protein 69,TRIM69
E3 ubiquitin-protein ligase TRIM69,TRIM69
RING-type E3 ubiquitin transferase TRIM69,TRIM69
Complement C4A (Chido/Rodgers blood group),C4A
Immunoglobulin heavy variable 4-59,IGHV4-59
Ig heavy chain V-II region NEWM,IGHV4-59
1-acylglycerophosphocholine O-acyltransferase,LPCAT1
Acyltransferase-like 2,LPCAT1
Acetyl-CoA:lyso-platelet-activating factor acetyltransferase,LPCAT1
Lysophosphatidylcholine acyltransferase 1,LPCAT1
1-alkenylglycerophosphocholine O-acyltransferase,LPCAT1
1-alkylglycerophosphocholine O-acetyltransferase,LPCAT1
1-acylglycerol-3-phosphate O-acyltransferase,LPCAT1
Formiminotransferase-cyclodeaminase,FTCD
Formimidoyltransferase-cyclodeaminase,FTCD
Immunoglobulin lambda variable 5-39,IGLV5-39
TNF-alpha,TNF
C-domain 1,TNF
Cachectin,TNF
Tumor necrosis factor,TNF
Intracellular domain 1,TNF
Tumor necrosis factor ligand superfamily member 2,TNF
Intracellular domain 2,TNF
"Tumor necrosis factor, soluble form",TNF
C-domain 2,TNF
Tumor necrosis factor ligand superfamily member 6,FASLG
CD95 ligand,FASLG
Fas antigen ligand,FASLG
HLA-A*6602 antigen,HLA-A
Trabecular meshwork-induced glucocorticoid response protein,MYOC
Myocilin,MYOC
L-selectin,SELL
E3 ubiquitin-protein ligase HERC2,HERC2
Phosphatase and actin regulator 4,PHACTR4
Immunoglobulin heavy variable 7-4-1,IGHV7-4-1
RNA polymerase II subunit A C-terminal domain phosphatase,CTDP1
Serine-exchange enzyme,PTDSS2
Phosphatidylserine synthase,PTDSS2
Immunoglobulin heavy variable 3-64D,IGHV3-64D
T cell receptor beta variable 6-9,TRBV6-9
Paraoxonase,PON2
Transient receptor potential cation channel subfamily V member 5,TRPV5
Osm-9-like TRP channel 3,TRPV5
Epithelial calcium channel 1,TRPV5
Calcium transport protein 2,TRPV5
WD repeat-containing protein 81,WDR81
Adipocyte protein S3-12,PLIN4
Perilipin-4,PLIN4
ADP-ribosylation factor-like protein 6,ARL6
Immunoglobulin heavy variable 5-10-1,IGHV5-10-1
Ras GTPase-activating-like protein IQGAP1,IQGAP1
"Aconitate hydratase, mitochondrial",HEL-S-284
Siderophilin,HEL-S-71p
Beta-1 metal-binding globulin,HEL-S-71p
Serotransferrin,HEL-S-71p
Adenylate cyclase type 10,HEL-S-7a
Glyceraldehyde-3-phosphate dehydrogenase,HEL-S-278
Spermatid-specific thioredoxin-2,HEL-S-99
NME/NM23 family member 8,HEL-S-99
3'-5' exonuclease NME8,HEL-S-99
Thioredoxin domain-containing protein 3,HEL-S-99
adenylate cyclase,HEL-S-172mP
phosphopyruvate hydratase,HEL-S-17
2-phospho-D-glycerate hydro-lyase,HEL-S-17
Carnitine transporter 2,HEL-S-18
Solute carrier family 22 member 16,HEL-S-18
Patatin-like phospholipase domain-containing protein 2,PNPLA2
Calcium-independent phospholipase A2-zeta,PNPLA2
Adipose triglyceride lipase,PNPLA2
Zinc finger protein 713,ZNF713
Tumor suppressor p53,TP53
Glycogen debranching enzyme,AGL
Glycogen debrancher,AGL
Neurexin-1-alpha,NRXN1
Neurexin I-alpha,NRXN1
Neurexin-1,NRXN1
Coagulation factor XII,F12
Hageman factor,F12
Bone morphogenetic protein 13,GDF6
Growth/differentiation factor 16,GDF6
Growth/differentiation factor 6,GDF6
JmjC domain-containing protein 6,JMJD6
Jumonji domain-containing protein 6,JMJD6
Histone arginine demethylase JMJD6,JMJD6
Lysyl-hydroxylase JMJD6,JMJD6
Phosphatidylserine receptor,JMJD6
